"release_group","worldwide","avg_domestic_percent","avg_foreign_percent","rating","vote_count"
"Kraven: The Hunter","52876550.000000000000","40.9000000000000000","59.1000000000000000","5.934","241.0"
"Batman v Superman: Dawn of Justice","874360194.00000000","37.8000000000000000","62.2000000000000000","5.973","17998.0"
"Tiny Times 3.0","82320000.000000000000","0.00000000000000000000","100.0000000000000000","3.200","37.0"
"The Karate Kid","359126022.00000000","49.2000000000000000","50.8000000000000000","6.536","5999.0"
"Unaccompanied Minors","21949234.000000000000","75.9000000000000000","24.1000000000000000","5.931","306.0"
"Kundo: Age of the Rampant","35941291.000000000000","0.80000000000000000000","99.2000000000000000","6.700","119.0"
"Me contro Te - Il film: La vendetta del Signor S","10779891.000000000000","0.00000000000000000000","100.0000000000000000","8.060","467.0"
"A Bad Moms Christmas","130560428.000000000000","55.2000000000000000","44.8000000000000000","6.314","2074.0"
"Treasure Planet","109578115.000000000000","34.8000000000000000","65.2000000000000000","7.600","4209.0"
"Shoot 'Em Up","27122238.000000000000","47.2000000000000000","52.8000000000000000","6.475","1859.0"
"Dancer in the Dark","40031879.000000000000","10.5000000000000000","89.5000000000000000","7.875","1792.0"
"The Butterfly Effect","96693728.000000000000","59.9000000000000000","40.1000000000000000","7.577","7536.0"
"Hart's War","32287044.000000000000","59.1000000000000000","40.9000000000000000","6.385","935.0"
"Julie & Julia","129540522.000000000000","72.7000000000000000","27.3000000000000000","6.696","2073.0"
"The Invisible Guest","31191910.000000000000","0.00000000000000000000","100.0000000000000000","8.109","4558.0"
"Remember Me","56032889.000000000000","34.0000000000000000","66.0000000000000000","7.116","3527.0"
"The Glass Castle","22088533.000000000000","78.2000000000000000","21.8000000000000000","7.100","819.0"
"Valentine","36684136.000000000000","55.6000000000000000","44.4000000000000000","5.531","537.0"
"We Are Marshall","43545364.000000000000","100.0000000000000000","0.00000000000000000000","6.900","704.0"
"All About Steve","40105542.000000000000","84.4000000000000000","15.6000000000000000","4.942","985.0"
"Two for the Money","30526509.000000000000","75.3000000000000000","24.7000000000000000","6.059","635.0"
"Pearl","9847490.000000000000","95.7000000000000000","4.3000000000000000","7.200","1985.0"
"Beverly Hills Chihuahua","149292488.000000000000","63.3000000000000000","36.7000000000000000","5.377","1055.0"
"Detective Chinatown","125842935.000000000000","0.40000000000000000000","99.6000000000000000","6.832","116.0"
"Keeping Up with the Joneses","29918745.000000000000","49.8000000000000000","50.2000000000000000","6.090","2012.0"
"Howling Village","13394556.000000000000","0.00000000000000000000","100.0000000000000000","5.800","89.0"
"Detective Conan: The Million-Dollar Pentagram","108136957.000000000000","0.00000000000000000000","100.0000000000000000","6.800","33.0"
"The Addams Family 2","119815153.000000000000","47.1000000000000000","52.9000000000000000","6.974","1298.0"
"God's Not Dead","64667874.000000000000","94.0000000000000000","6.0000000000000000","6.020","893.0"
"Imaginary","43787034.000000000000","64.0000000000000000","36.0000000000000000","6.039","516.0"
"Indiana Jones and the Kingdom of the Crystal Skull","786636033.00000000","40.3000000000000000","59.7000000000000000","6.011","8308.0"
"The Family Man","124745083.000000000000","60.8000000000000000","39.2000000000000000","6.796","1974.0"
"RoboCop","242688965.00000000","24.1000000000000000","75.9000000000000000","7.300","5127.0"
"The Campaign","104907746.000000000000","82.8000000000000000","17.2000000000000000","5.827","1732.0"
